ＴＫＣ,会社コード,業種名,公開有無,フリガナ,和文社名,旧会社名,英文社名,郵便番号,住所,電話,ＵＲＬ,営業所等,事業内容,仕入先,販売先,ブランド,取引銀行,設立年月,資本金,lat,lon
10388866,760,機械,未上場,エピロックジャパン,エピロックジャパン（株）,アトラスコプコ（株）（2017.11）,Ｅｐｉｒｏｃ　Ｊａｐａｎ　ＫＫ,224-0057,神奈川県横浜市都筑区川和町５０－１,045-933-6315,https://www.epiroc.com/,［営業所］　仙台，関東，大阪伊丹，福岡　［工場］　横浜,土木鉱山機械（油圧式削岩機，油圧クローラドリル等）および建設機器の開発・製造・販売,Ｅｐｉｒｏｃのグループ各社,虎乃門建設機械，ヤマモトロックマシン,クローラドリル（ＰｏｗｅｒＲＯＣ：パワーロック）,三井住友,197906,495,35.5184558,139.5525155
10048635,2660,化学,未上場,トーレデュポン,東レ・デュポン（株）,,Ｄｕ　Ｐｏｎｔ－Ｔｏｒａｙ　Ｃｏ．，　Ｌｔｄ．,103-0023,東京都中央区日本橋本町１－１－１　ＭＥＴＬＩＦＥ日本橋本町ビル,03-3245-5081,https://www.td-net.co.jp/,,ポリエステルエラストマー「ハイトレル」，ポリイミドフィルム「カプトン」，アラミド繊維「ケブラー」の製造・販売,,,,,196406,"3,208",35.6850578,139.7764718
10404218,7840,電気機器卸売,未上場,フィリップスジャパン,（株）フィリップス・ジャパン,（株）フィリップスエレクトロニクスジャパン（2017.10）,Ｐｈｉｌｉｐｓ　Ｊａｐａｎ，　Ｌｔｄ．,108-8507,東京都港区港南２－１３－３７　フィリップスビル,03-3740-5112,https://www.philips.co.jp/,［事業所］　北海道，東北，東関東，東京，西関東，中部，関西，中四国，九州,医療機器，家電製品の輸入販売,オランダ・フィリップス，各国フィリップス社，国内大手電機関連メーカー,電機関連大手メーカー各社，国公立・大学病院，官公庁・大学研究機関，各国フィリップス社，他,フィリップス,◎シティ，三菱ＵＦＪ,195307,"3,000",35.6281599,139.7451647
10054393,11530,機械,未上場,イートン,イートン（株）,イートン機器（株）（2011.1）,Ｅａｔｏｎ　Ｉｎｄｕｓｔｒｉｅｓ　（Ｊａｐａｎ）　Ｌｔｄ．,107-0052,東京都港区赤坂８－１１－３７　いちご乃木坂ビル,03-5786-2560,http://www.eaton.com/EatonComJapan/,,油圧機器の設計，製造，販売ならびに修理,,,,,197410,412,35.6686445,139.7273141
10392702,100069,金属製品,未上場,プラクスエアコウガク,プラクスエア工学（株）,ユニオン・カーバイド・サービセス（1992.9）,Ｐｒａｘａｉｒ　Ｓｕｒｆａｃｅ　Ｔｅｃｈｎｏｌｏｇｉｅｓ，　Ｋ．Ｋ．,330-0063,埼玉県さいたま市浦和区高砂２－１－１６　浦和大熊ビル２階,048-825-7894,https://www.praxairsurfacetech.jp/,,金属およびセラミックコーティング,,,,,196006,499,35.8568134,139.6545953
10394542,100823,通信・放送,未上場,オレンジジャパン,オレンジ・ジャパン（株）,フランス　テレコム（株）（2013.7）,Ｏｒａｎｇｅ　Ｊａｐａｎ　Ｃｏ．，　Ｌｔｄ．,105-6034,東京都港区虎ノ門４－３－１　城山トラストタワー３４階,03-5733-9149,https://orangefab.asia/,,仏オレンジグループの日本における代表業務，電話・移動体通信・マルチメディア分野における事業開発,,,,,198905,342,35.6646397,139.7430889
10394583,100832,輸送用機器卸売,未上場,マキシオンホイールズジャパン,（株）マキシオンホイールズジャパン,（株）ヘイズレメルツ・ジャパン（2014.12）,Ｍａｘｉｏｎ　Ｗｈｅｅｌｓ　Ｊａｐａｎ　Ｃｏ．，　Ｌｔｄ．,231-0012,神奈川県横浜市中区相生町６－１０４　横浜相生町ビル５階,045-680-5807,https://www.maxionwheels.com/,,自動車用アルミホイールの輸入販売に関する情報提供，仲介,Ｍａｘｉｏｎ　Ｗｈｅｅｌｓ,国内完成車メーカー（トヨタ，日産，ホンダ，日野自動車，他）,,,198710,3,35.4491344,139.6340913
10394815,101027,他製造業,未上場,メルセンエフエムエー,メルセン・エフエムエー（株）,ル・カーボン（株）（2010.7）,Ｍｅｒｓｅｎ　ＦＭＡ　Ｊａｐａｎ　Ｋ．Ｋ．,163-0714,東京都新宿区西新宿２－７－１　小田急第一生命ビル１４階,03-5325-6311,https://www.mersen.jp/,,カーボン熱交換器，シーリング製品，フッ素樹脂ライニング製品，炭素ブラシ，マグネット製品の加工・販売,,,,,198908,50,35.6915156,139.6913635
10237865,101097,他製造業,未上場,フレゼニウスカワスミ,フレゼニウス川澄（株）,,Ｆｒｅｓｅｎｉｕｓ－Ｋａｗａｓｕｍｉ　Ｃｏ．，　Ｌｔｄ．,879-7304,大分県豊後大野市犬飼町大寒３００,0975-78-1164,https://www.fresenius.co.jp/,,透析用中空糸の製造・販売,,,,,199005,480,33.0363987,131.6346626
10395341,103015,情報・システム・ソフト,未上場,エレクトロニックアーツ,エレクトロニック・アーツ（株）,エレクトロニック・アーツ・スクウェア（株）（2003.4）,Ｅｌｅｃｔｒｏｎｉｃ　Ａｒｔｓ　Ｋ．Ｋ．,105-6090,東京都港区虎ノ門４－３－１　城山トラストタワー東京赤坂法律事務所内,－,https://www.ea.com/ja-jp,,ＥＡのエンターテインメント・ソフトウェアのローカライズ，オリジナル・エンターテインメント・ソフトウェアの開発，マーケティングおよび販売,,,,,199805,212,35.6646397,139.7430889
10395804,103143,他サービス,未上場,ウォルトディズニージャパン,ウォルト・ディズニー・ジャパン（株）,ウォルト・ディズニー・インターナショナル・ジャパン（株）（2002.8）,Ｔｈｅ　Ｗａｌｔ　Ｄｉｓｎｅｙ　Ｃｏｍｐａｎｙ　（Ｊａｐａｎ）　Ｌｔｄ．,105-6355,東京都港区虎ノ門１－２３－１　虎ノ門ヒルズ森タワー,03-6752-2300,https://www.disney.co.jp/,,ディズニープロパティの著作権の使用許諾・管理，劇場用・家庭用映画の制作・配給，エンターテインメント関連コンテンツの開発・制作・複製など,,,Ｄｉｓｎｅｙ（ディズニー），ＰＩＸＡＲ（ピクサー），ＳＴＡＲ　ＷＡＲＳ（スター・ウォーズ），ＭＡＲＶＥＬ（マーベル）、ＦＯＸ,,199105,300,35.6668216,139.7494178
